"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"Янв. '13","212,30","205,80","214,50","205,80","0,07K","3,43%"
"Дек. '12","205,25","222,00","225,00","206,70","0,64K","-8,27%"
"Нояб. '12","223,75","212,00","227,00","210,00","1,04K","6,29%"
"Окт. '12","210,50","202,00","210,50","197,00","5,05K","3,82%"
"Сент. '12","202,75","204,00","207,50","195,05","6,40K","-1,03%"
"Авг. '12","204,85","191,00","208,75","187,40","8,87K","6,72%"
"Июль '12","191,95","190,00","210,00","177,50","7,67K","2,10%"
"Июнь '12","188,00","171,50","190,00","171,00","1,19K","9,56%"
"Май '12","171,60","178,25","178,25","171,00","0,45K","-4,00%"
"Апр. '12","178,75","175,00","180,00","168,50","5,07K","2,29%"
"Март '12","174,75","165,00","178,50","165,00","1,55K","5,59%"
"Февр. '12","165,50","170,00","171,00","162,95","0,80K","-1,78%"
"Янв. '12","168,50","156,00","168,50","150,00","0,35K","10,67%"
"Дек. '11","152,25","142,75","151,50","140,75","0,95K","6,73%"
"Нояб. '11","142,65","149,00","151,50","140,00","0,78K","-5,53%"
"Окт. '11","151,00","149,50","153,00","144,55","5,65K","0,23%"
"Сент. '11","150,65","174,00","174,00","149,80","9,69K","-13,79%"
"Авг. '11","174,75","164,00","175,00","154,00","9,73K","6,78%"
"Июль '11","163,65","170,00","175,00","157,80","8,31K","-4,30%"
"Июнь '11","171,00","192,00","198,00","161,00","0,77K","-11,40%"
"Май '11","193,00","207,00","207,00","191,00","0,75K","-5,85%"
"Апр. '11","205,00","203,00","222,00","201,00","3,30K","1,49%"
"Март '11","202,00","201,85","203,00","193,75","1,01K","0,50%"
"Февр. '11","201,00","201,50","210,50","187,50","0,87K","-1,03%"
"Янв. '11","203,10","203,30","204,00","191,25","0,18K","2,06%"
"Дек. '10","199,00","181,25","200,00","181,25","3,01K","11,05%"
"Нояб. '10","179,20","170,50","180,00","161,00","0,76K","5,26%"
"Окт. '10","170,25","155,00","170,00","148,25","4,64K","11,27%"
"Сент. '10","153,00","156,00","171,50","151,00","7,30K","-1,03%"
"Авг. '10","154,60","145,00","169,00","143,00","9,95K","8,49%"
"Июль '10","142,50","102,00","143,00","102,00","11,27K","39,84%"
"Июнь '10","101,90","103,00","103,00","96,00","0,65K","-3,75%"
"Май '10","105,88","106,38","125,00","102,50","-","-0,47%"
"Апр. '10","106,38","98,88","107,75","98,88","-","7,59%"
"Март '10","98,88","97,13","100,38","91,78","-","1,80%"
"Февр. '10","97,13","97,03","101,13","91,43","-","0,36%"
"Янв. '10","96,78","108,40","111,53","96,10","-","-10,72%"
"Дек. '09","108,40","108,25","110,25","105,75","-","0,14%"
"Нояб. '09","108,25","104,75","114,13","104,10","-","3,34%"
