Stock1,Stock2,Moving_average,2016,2017,2018,2019,2020,0
0,0,0,,,,,,0
HDFC,AXISBK,1,0.0,0.0,0.0,0.0,0.0,
HDFC,AXISBK,2,0.0,0.0,0.0,0.0,0.0,
HDFC,AXISBK,3,-356.3999938964844,-16.14935302734375,217.85092163085938,-8.15057373046875,1177.8995056152344,
HDFC,AXISBK,4,-27.349700927734375,79.65057373046875,247.45013427734375,203.40020751953125,1292.8995056152344,
HDFC,AXISBK,5,-49.45013427734375,154.95065307617188,199.3997802734375,251.949462890625,1004.9498596191406,
HDFC,AXISBK,6,41.700225830078125,272.65045166015625,574.6999206542969,87.19964599609375,567.2999267578125,
HDFC,AXISBK,7,225.10006713867188,437.100341796875,611.2995910644531,285.19927978515625,542.3997192382812,
HDFC,AXISBK,8,130.10006713867188,458.000244140625,617.8497009277344,222.95001220703125,573.1495056152344,
HDFC,AXISBK,9,80.30020141601562,470.8000793457031,382.4499206542969,269.0999755859375,632.0494689941406,
HDFC,AXISBK,10,86.49996948242188,497.1003723144531,360.59991455078125,221.249755859375,585.1496276855469,
HDFC,AXISBK,11,178.99996948242188,569.4498901367188,553.19970703125,347.14959716796875,402.74993896484375,
HDFC,AXISBK,12,241.80001831054688,498.3500061035156,521.9497680664062,418.1995849609375,556.0997619628906,
HDFC,AXISBK,13,367.349853515625,484.2000427246094,459.29986572265625,399.3992919921875,440.14971923828125,
HDFC,AXISBK,14,421.7998046875,458.3001403808594,506.6998291015625,142.049560546875,418.94976806640625,
HDFC,AXISBK,15,385.5000915527344,324.050048828125,503.599609375,100.6998291015625,319.8495178222656,
HDFC,HDFCBK,1,0.0,0.0,0.0,0.0,0.0,
HDFC,HDFCBK,2,0.0,0.0,0.0,0.0,0.0,
HDFC,HDFCBK,3,-92.24978637695312,220.07513427734375,490.4000244140625,150.299560546875,978.798583984375,
HDFC,HDFCBK,4,-74.32492065429688,155.1246337890625,347.0498046875,55.1495361328125,1200.7494506835938,
HDFC,HDFCBK,5,-110.22528076171875,186.75018310546875,343.1246337890625,85.62548828125,1117.4498291015625,
HDFC,HDFCBK,6,27.7998046875,230.000244140625,442.074462890625,245.2747802734375,495.6494140625,
HDFC,HDFCBK,7,167.79962158203125,194.7498779296875,303.82470703125,296.7994384765625,531.2994384765625,
HDFC,HDFCBK,8,151.49972534179688,220.999755859375,450.19940185546875,105.0994873046875,514.8495483398438,
HDFC,HDFCBK,9,191.89956665039062,292.72491455078125,303.1243896484375,-28.975341796875,433.59954833984375,
HDFC,HDFCBK,10,237.2999267578125,349.999755859375,302.1492919921875,59.699951171875,542.1997680664062,
HDFC,HDFCBK,11,232.224853515625,415.2750244140625,403.52423095703125,58.7745361328125,451.64984130859375,
HDFC,HDFCBK,12,276.89990234375,471.275146484375,377.64910888671875,112.3990478515625,531.7993774414062,
HDFC,HDFCBK,13,365.6750183105469,460.02490234375,493.29925537109375,68.84912109375,451.04986572265625,
HDFC,HDFCBK,14,324.7747497558594,416.125,503.2242431640625,-0.1258544921875,569.299560546875,
HDFC,HDFCBK,15,357.9749755859375,416.67510986328125,484.17449951171875,-61.375732421875,437.1495361328125,
HDFC,ICICIBK,1,0.0,0.0,0.0,0.0,0.0,
HDFC,ICICIBK,2,0.0,0.0,0.0,0.0,0.0,
HDFC,ICICIBK,3,-322.9586639404297,132.84571838378906,29.050445556640625,-523.1999816894531,1033.4992065429688,
HDFC,ICICIBK,4,-161.89981079101562,189.99073791503906,153.9501953125,-120.79922485351562,774.9993286132812,
HDFC,ICICIBK,5,-87.92243957519531,133.75942993164062,326.4996643066406,-48.44952392578125,812.1998596191406,
HDFC,ICICIBK,6,14.977020263671875,88.61399841308594,432.7499694824219,27.2503662109375,498.1498718261719,
HDFC,ICICIBK,7,204.2679901123047,183.50929260253906,355.0001525878906,307.5998840332031,422.9996337890625,
HDFC,ICICIBK,8,57.03150939941406,264.71812438964844,321.64984130859375,355.55010986328125,335.2995300292969,
HDFC,ICICIBK,9,137.0089111328125,252.27737426757812,116.39984130859375,331.29998779296875,317.5997009277344,
HDFC,ICICIBK,10,148.12240600585938,358.64990234375,147.24969482421875,409.7508544921875,11.999481201171875,
HDFC,ICICIBK,11,95.08155822753906,395.9586486816406,354.79974365234375,578.6005249023438,150.64947509765625,
HDFC,ICICIBK,12,205.82684326171875,431.1587829589844,373.59979248046875,521.5504760742188,230.89938354492188,
HDFC,ICICIBK,13,136.38584899902344,384.9044189453125,323.09979248046875,348.69964599609375,91.9495849609375,
HDFC,ICICIBK,14,342.4178771972656,449.1907653808594,245.4998779296875,370.7998352050781,-42.050384521484375,
HDFC,ICICIBK,15,379.8497009277344,368.6408386230469,243.04962158203125,400.1998291015625,23.649688720703125,
HDFC,INDUSINDBK,1,0.0,0.0,0.0,0.0,0.0,
HDFC,INDUSINDBK,2,0.0,0.0,0.0,0.0,0.0,
HDFC,INDUSINDBK,3,361.14923095703125,547.2509765625,397.799072265625,485.599365234375,1679.2002563476562,
HDFC,INDUSINDBK,4,405.1495361328125,564.80126953125,535.89990234375,378.0989990234375,1622.099609375,
HDFC,INDUSINDBK,5,374.94970703125,615.7005615234375,338.599365234375,269.5992431640625,1603.3995666503906,
HDFC,INDUSINDBK,6,436.24969482421875,601.95068359375,250.349609375,603.099853515625,1510.8997192382812,
HDFC,INDUSINDBK,7,529.1000366210938,536.30078125,312.5494384765625,601.199951171875,1379.9997863769531,
HDFC,INDUSINDBK,8,533.7498168945312,550.8006591796875,529.399658203125,819.85009765625,1387.4002075195312,
HDFC,INDUSINDBK,9,595.99951171875,524.700439453125,469.1492919921875,898.6500244140625,1353.2497253417969,
HDFC,INDUSINDBK,10,640.8495483398438,525.80029296875,369.849609375,661.1505126953125,1242.1497802734375,
HDFC,INDUSINDBK,11,670.2495727539062,509.3004150390625,409.3499755859375,794.25048828125,1282.3499755859375,
HDFC,INDUSINDBK,12,710.4998168945312,511.75048828125,191.4998779296875,806.4501953125,1462.2997741699219,
HDFC,INDUSINDBK,13,663.549560546875,560.55029296875,290.300048828125,842.900390625,1250.2498779296875,
HDFC,INDUSINDBK,14,668.9497680664062,546.1505126953125,560.4505615234375,744.549560546875,1084.0498657226562,
HDFC,INDUSINDBK,15,704.149658203125,557.800537109375,661.6502685546875,730.7994384765625,1121.049560546875,
HDFC,KOTAKBK,1,0.0,0.0,0.0,0.0,0.0,
HDFC,KOTAKBK,2,0.0,0.0,0.0,0.0,0.0,
HDFC,KOTAKBK,3,-114.50006103515625,78.0504150390625,189.1995849609375,19.500732421875,520.049072265625,
HDFC,KOTAKBK,4,30.20037841796875,131.35009765625,384.09942626953125,-12.3997802734375,640.4490966796875,
HDFC,KOTAKBK,5,80.75018310546875,249.449951171875,393.44940185546875,-447.3992919921875,180.949462890625,
HDFC,KOTAKBK,6,247.1500244140625,145.9495849609375,508.349609375,-287.7496337890625,360.39990234375,
HDFC,KOTAKBK,7,242.3997802734375,225.6494140625,630.800048828125,-334.749755859375,744.14990234375,
HDFC,KOTAKBK,8,198.249755859375,213.8497314453125,657.0498046875,-262.099365234375,859.8001708984375,
HDFC,KOTAKBK,9,156.49993896484375,253.2994384765625,592.7000732421875,-105.1488037109375,801.0499267578125,
HDFC,KOTAKBK,10,128.74993896484375,175.89959716796875,638.30029296875,50.1507568359375,816.249755859375,
HDFC,KOTAKBK,11,99.3997802734375,260.34967041015625,546.8504638671875,87.100341796875,754.39990234375,
HDFC,KOTAKBK,12,248.64971923828125,165.999755859375,485.600341796875,201.3502197265625,718.39990234375,
HDFC,KOTAKBK,13,295.899658203125,186.9498291015625,482.1004638671875,162.850341796875,816.1500244140625,
HDFC,KOTAKBK,14,227.599609375,238.44964599609375,414.1507568359375,149.35009765625,549.199951171875,
HDFC,KOTAKBK,15,239.04925537109375,171.59967041015625,431.7005615234375,272.600341796875,617.749755859375,
HDFCBK,AXISBK,1,0.0,0.0,0.0,0.0,0.0,
HDFCBK,AXISBK,2,0.0,0.0,0.0,0.0,0.0,
HDFCBK,AXISBK,3,-93.74972534179688,93.37481689453125,246.87496948242188,286.625,181.90011596679688,
HDFCBK,AXISBK,4,-87.82479858398438,71.5250244140625,299.2249450683594,455.60015869140625,344.35009765625,
HDFCBK,AXISBK,5,1.875274658203125,-18.250091552734375,285.7249450683594,380.0255126953125,408.7001037597656,
HDFCBK,AXISBK,6,-12.974822998046875,54.49981689453125,272.79974365234375,450.42510986328125,300.5499572753906,
HDFCBK,AXISBK,7,126.10049438476562,15.224822998046875,292.9249267578125,358.97528076171875,479.2003173828125,
HDFCBK,AXISBK,8,115.975341796875,18.524749755859375,325.44976806640625,461.47503662109375,529.6503295898438,
HDFCBK,AXISBK,9,160.00027465820312,59.549957275390625,280.6501159667969,414.9002685546875,580.1505432128906,
HDFCBK,AXISBK,10,245.87545776367188,59.824951171875,150.90023803710938,485.52484130859375,618.3505859375,
HDFCBK,AXISBK,11,265.8003234863281,77.39999389648438,246.55032348632812,460.87518310546875,613.0506896972656,
